id,instruction,node_precision,node_recall,node_f1,edit_distance,link_precision,link_recall,link_f1,argument_precision,argument_recall,argument_f1
17210672,"I extracted the audio from a video file. The speech is in a foreign language, so I would like to create a summarized version of the contents, translate it to English, generate a new audio file with the translated content, and finally combine both the original and the translated audio. The audio filename is 'example.wav'.",1.0,1.0,1.0,-0.3999999999999999,0,0,0,1.0,1.0,1.0
55758855,"I would like to combine two audio files, audio1.wav and audio2.wav, into a single audio file, merged_audio.wav.",1.0,1.0,1.0,1.0,0,0,0,1.0,1.0,1.0
27208169,I want to add a voiceover to my video 'example.mp4'. Please use the provided script 'We are excited to introduce our new product!'.,0.5,1.0,0.6666666666666666,-1.0,0,0,0,0.3333333333333333,0.5,0.4
11200164,I want to find out the best programming languages by searching for the keyword 'best programming languages'.,1.0,1.0,1.0,1.0,0,0,0,1.0,1.0,1.0
92103059,"I have a non-English text, 'Bonjour, je suis heureux!', and a video 'example.mp4'. Please help me to understand the topics discussed in the text, analyze the sentiment of those topics, and then adjust the speed of the video according to the sentiment analysis result. Finally, extract a still image from the adjusted video.",1.0,1.0,1.0,1.0,0,0,0,1.0,1.0,1.0
81852889,"I have two images, example1.jpg and example2.jpg. I would like to apply the visual style of example1.jpg to the content of example2.jpg using the Image Style Transfer technique.",1.0,1.0,1.0,1.0,0,0,0,1.0,1.0,1.0
17993638,"Translate the following text from French to English: 'Bonjour, comment ça va? Mon nom est Example. J'aime beaucoup apprendre des langues.'",1.0,1.0,1.0,1.0,0,0,0,1.0,1.0,1.0
21284127,"I want to know more about the history, uses, and benefits of lavender essential oil.",0.5,0.3333333333333333,0.4,-0.6666666666666667,0,0,0,0.5,0.3333333333333333,0.4
60932031,Provide a detailed and grammatically correct explanation in English audio with a female tone for the phrase 'Economic globalization' sourced from example.wav.,1.0,0.6,0.7499999999999999,-0.6000000000000001,0,0,0,1.0,0.6,0.7499999999999999
19793459,"I have a complex sentence: 'The grandiose edifice exhibiting an eclectic mixture of architectural designs evokes a sense of awe and admiration among the beholders.' I would like it to be paraphrased, simplified, and then find an image related to the simplified sentence.",1.0,1.0,1.0,1.0,0,0,0,1.0,1.0,1.0
58009932,"I have an audio file (example.wav) and a video file (example.mp4). Please transcribe the speech from the audio file, add a voiceover to the video using the transcribed text, and provide the transcription of the speech from the video with voiceover.",1.0,1.0,1.0,1.0,0,0,0,1.0,1.0,1.0
66706247,"I have a news article text, and I need to create a new version of the article with different wording while keeping the important information. Also, I need to find any URLs in the newly generated article. Here is the article text: In today's news, a major event took place that has caused significant changes across many industries. One of those industries was impacted by this turn of events more than any other. To find more information about this, visit example.com.",1.0,1.0,1.0,1.0,0,0,0,1.0,1.0,1.0
64715735,"I want to extract a still image from the video 'example.mp4', apply the visual style of 'example.jpg' to the extracted image, and then add color to the resulting style-transferred image using deep learning techniques.",1.0,1.0,1.0,1.0,0,0,0,0.6666666666666666,1.0,0.8
